"fishery","fishery_name","n_used","old_divisor","raw_multiplier","recommended_divisor","old_max_neff","new_max_neff"
1,"LL.WEST.ALL.1",179,40,0.345347355176612,116,25,8.62068965517241
2,"LL.EAST.ALL.1",124,40,0.255381528642504,157,25,6.36942675159236
3,"LL.US.1",80,20,0.465867498982425,43,50,23.2558139534884
4,"LL.ALL.2",142,40,0.348819632450072,115,25,8.69565217391304
5,"LL.OS.2",28,20,0.371545819630473,54,50,18.5185185185185
6,"LL.ARCH.3",50,40,1.73039618656107,23,25,43.4782608695652
7,"LL.WEST.3",202,40,0.474751821450162,84,25,11.9047619047619
8,"LL.EAST.4",70,40,0.566764001094264,71,25,14.0845070422535
9,"LL.OS.3",128,20,0.307170506448767,65,50,15.3846153846154
10,"LL.ALL.5",26,40,0.419199301366226,95,25,10.5263157894737
11,"LL.AU.5",106,20,0.387153542576459,52,50,19.2307692307692
12,"PS.JP.1",10,20,0.107616582448575,186,50,5.37634408602151
13,"PL.JP.1",45,20,0.0536345580868862,373,50,2.68096514745308
14,"HL.ID.2",26,20,0.919824261498668,22,50,45.4545454545455
15,"HL.PH.2",108,20,0.143244732818527,140,50,7.14285714285714
16,"PL.ALL.2",17,20,0.0854651001550808,234,50,4.27350427350427
17,"PS.ID.2",13,20,0.165041245903101,121,50,8.26446280991735
18,"PS.PH.2",31,20,0.114985749772239,174,50,5.74712643678161
19,"PS.ASS.2",18,20,0.0918302457273295,218,50,4.58715596330275
20,"PS.UNA.2",2,20,0.0940287718110963,213,50,4.69483568075117
21,"MISC.ID.2",15,20,0.220687755793092,91,50,10.989010989011
22,"MISC.PH.2",125,20,0.0255580010211411,783,50,1.27713920817369
23,"MISC.VN.2",21,20,0.0249382968451673,802,50,1.24688279301746
24,"PL.ALL.WEST.3",17,20,0.439263266873518,46,50,21.7391304347826
25,"PS.ASSOC.WEST.3",48,20,0.597810271455695,33,50,30.3030303030303
26,"PS.ASSOC.EAST.4",27,20,0.429881399516715,47,50,21.2765957446809
27,"PS.UNASSOC.WEST.3",21,20,0.609225053014123,33,50,30.3030303030303
28,"PS.UNASSOC.EAST.4",23,20,0.431928155603586,46,50,21.7391304347826
29,"Index R1",218,40,0.335376127068262,119,25,8.40336134453782
30,"Index R2",126,40,0.718027371099764,56,25,17.8571428571429
31,"Index R3",243,40,0.723852525123232,55,25,18.1818181818182
32,"Index R4",89,40,0.748357619171721,53,25,18.8679245283019
33,"Index R5",21,40,1.0104864120533,40,25,25
